"TOA5","CR1000_7","CR1000","32128","CR1000.Std.32.05","CPU:JW_UB_wx_v2.CR1","23031","One_Hour"
"TIMESTAMP","RECORD","BattV_Min","AirTC_Avg","RH","DT_Avg","Q_Avg","TCDT_Avg","DBTCDT_Avg","WS_ms_Avg","WindDir","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","SWin_Avg","SWout_Avg","LWin_Avg","LWout_Avg","SWnet_Avg","LWnet_Avg","SWalbedo_Avg","NR_Avg","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","BulkEC_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg","VWC_60cm_Avg","Ka_60cm_Avg","T_60cm_Avg","BulkEC_60cm_Avg","VWC_75cm_Avg","Ka_75cm_Avg","T_75cm_Avg","BulkEC_75cm_Avg","VWC_100cm_Avg","Ka_100cm_Avg","T_100cm_Avg","BulkEC_100cm_Avg"
"TS","RN","Volts","Deg C","%","","","","","meters/second","degrees","meters/second","Deg","Deg","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Min","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Smp","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-11-18 02:00:00",0,13.05,22.89,15.8,2.583,270.6,2.689,-0.189,0,353.1,0,0,0,-0.047,-0.001,438.9,442.2,-0.043,-3.142,0.005,-3.184,0,0.779,19.39,0.003,0,0.844,19.31,0,0,0.749,19.23,0.001,0,0.814,19.13,0.001,0,0.778,19.16,0.001,0,0.769,19.1,0,0,0.81,19.06,0.002,0,0.786,18.87,0.001,0.814,65.91,17.95,0.087
"2021-11-18 03:00:00",1,13.07,22.72,15.3,2.819,305.7,2.934,-0.434,0,353,0,0,0,-0.464,-0.002,436.7,440.5,-0.462,-3.634,0.003,-4.097,0,0.881,22.49,0.005,0,0.954,22.47,0,0,0.848,22.38,0.001,0,0.926,22.28,0,0,0.912,22.27,0,0,0.903,22.22,0,0,0.925,22.16,0.001,0,0.885,21.95,0,0.958,77.74,20.8,0.103
"2021-11-18 04:00:00",2,13.07,22.5,15.46,2.798,295.2,2.911,-0.411,0,353,0,0,0,-0.415,-0.001,434.7,438.8,-0.414,-3.926,0.003,-4.34,0,0.906,22.14,0.001,0,0.955,22.13,0,0,0.867,22.04,0,0,0.94,21.9,0,0,0.883,21.87,0,0,0.891,21.85,0,0,0.917,21.8,0,0,0.872,21.57,0,0.956,77.46,20.42,0.103
"2021-11-18 05:00:00",3,13.06,22.34,15.79,2.894,303.3,3.01,-0.51,0,352.9,0,0,0,-0.338,-0.002,434.8,438.2,-0.339,-3.298,0.003,-3.638,0,0.912,21.96,0.001,0,0.966,21.94,0,0,0.852,21.86,0,0,0.914,21.74,0,0,0.889,21.73,0,0,0.875,21.72,0,0,0.935,21.66,0,0,0.895,21.39,0,0.957,77.54,20.08,0.101
"2021-11-18 06:00:00",4,13.05,22.21,16.18,2.895,344.1,3.01,-0.51,0,352.8,0,0,0,-0.347,-0.001,435.1,437.6,-0.346,-2.311,0.002,-2.658,0,0.889,21.91,0.001,0,0.965,21.87,0,0,0.85,21.79,0,0,0.926,21.65,0,0,0.894,21.61,0,0,0.881,21.59,0,0,0.913,21.52,0,0,0.875,21.26,0,0.955,77.37,19.81,0.1
"2021-11-18 07:00:00",5,13.05,22.13,15.95,2.808,333.8,2.919,-0.419,0,352.8,0,0,0,-0.287,-0.001,435,437.3,-0.282,-2.137,0.006,-2.419,0,0.896,21.86,0.001,0,0.953,21.81,0,0,0.859,21.74,0,0,0.932,21.59,0,0,0.891,21.54,0,0,0.893,21.49,0,0,0.945,21.41,0,0,0.908,21.15,0,0.955,77.38,19.62,0.1
"2021-11-18 08:00:00",6,13.05,22.09,15.5,2.864,335.2,2.978,-0.478,0,352.7,0,0,0,-0.309,0,434.8,437.1,-0.31,-2.196,0.005,-2.506,0,0.903,21.82,0.001,0,0.951,21.78,0,0,0.868,21.71,0,0,0.931,21.57,0,0,0.899,21.52,0,0,0.881,21.47,0,0,0.927,21.39,0,0,0.884,21.09,0,0.957,77.6,19.43,0.1
"2021-11-18 09:00:00",7,13.05,22.04,15.69,2.808,319.1,2.919,-0.419,0,352.7,0,0,0,-0.264,-0.001,434.9,436.9,-0.266,-1.824,0.01,-2.09,0,0.903,21.78,0.001,0,0.947,21.74,0,0,0.865,21.66,0,0,0.938,21.51,0,0,0.884,21.46,0,0,0.883,21.41,0,0,0.909,21.29,0,0,0.88,21,0,0.96,77.94,19.28,0.1
